rad_counter,rad_long_counter,short_rad_synergy,middle_rad_synergy,long_rad_synergy,rad_win
0.5191738988248367,0.4983618718621566,0.5346315105995193,0.5076718804640439,0.4899684749165739,1
0.4994034753429232,0.49911260531972157,0.5215959804768302,0.5261700116459103,0.5170714423147923,1
0.496839299818656,0.4967672921715569,0.5232685881370092,0.4474481845212395,0.5101506371102984,0
0.4726042465562192,0.47571763504077846,0.5072063234040409,0.5001875301401737,0.4929514883213967,1
0.5059989424515899,0.49551988012497616,0.4947494670221942,0.4807290206645066,0.4969548359329948,0
0.47859834244617955,0.48072434218013366,0.46117260415253886,0.47425718182793125,0.4781231419965605,0
0.5059557745296799,0.48544663232404545,0.57624038791452,0.5330667710345978,0.4694114011606148,0
0.47282189653973183,0.4748230866726179,0.5119598136834209,0.4972528368716618,0.49386274194528834,0
0.5035200390887034,0.526751259193616,0.5350755456866589,0.539525834630668,0.5369607913300852,1
0.5286425999881418,0.511354654903496,0.460411187993912,0.48855821456590576,0.48856816159335,0
0.4780116784381424,0.48701277410534677,0.4994663440355184,0.47985259866526064,0.4947873885532056,1
0.49548414157483034,0.4927001626544067,0.4084277535194894,0.4296287253435806,0.4233015115025956,0
0.5121478934947101,0.5008777300675185,0.4613942073517488,0.4621440008758553,0.4911403837018141,0
0.4965384290037285,0.5113453808535984,0.46695669326122113,0.5189253862850746,0.503036162395613,1
0.49893610985900094,0.4824852612067868,0.5483512484532824,0.5298000366477266,0.5007783273136945,1
0.5165098636522809,0.4984470663307198,0.5444146962037,0.5207110647986777,0.527965736341314,0
0.491912714523155,0.5040447939906404,0.5312214355692617,0.5037792401076879,0.5029167090267987,0
0.5500778844414027,0.5027531689570952,0.5325957814415405,0.5677035451376111,0.5577295057354925,1
0.5228522713661826,0.5072644487699269,0.46964453193864963,0.49749325388401366,0.4963622693235276,1
0.4839693378945894,0.5127571217800677,0.48432850774956054,0.44185922078406914,0.5104520803363833,1
